,reviews
109,extremely unsatisfied customers we have been trying to rebook our flights to kenya for the last 6 months with only one response which was on christmas eve of 2020 and we havent heard anything from them ever since we have a booked and paid for trip which we had to rebook due to covid19 in 2020 our trip is expected to be this april 2021 and we had supposedly received our cancelled flights in the form of a refunded voucher which was never ever received from the airline we then received on christmas eve a link to our supposedly new flights which had a time frame to a payment portal from 15h0017h3018h00 roughly let me reiterate on christmas eve who is checking their emails to rebook flights in such a short time frame we then tried to access the portal that night at 19h00 and we could not access it to pay an additional fee when this was supposed to be fully refunded i might add for our flights in april i have sent roughly 50 emails to the airline and that doesnt include my partners emails to kenya airways we have heard nothing back from them and they have about r35 000 of our money in promised refunded tickets which we do not have and cannot get hold of anybody from kenya airways this is beyond unprofessional and i have literally tried to contact anyeveryone i possibly could from kenya airway
110,flight kq101 to johannesburg via nairobi was meant to depart lhr on 8th february flight was at the gate but boarding time kept getting delayed and delayed and was eventually canceled then complete chaos ensued kenya airways do not have a desk at lhr tried to call 020 8283 1818 several times on the 82 and 92 but no answer and then line was disconnected was directed to hotel at lhr and then told flight was going to leave turned out it wasnt so was directed back to hotel at no point as there any customer service offered to customers kenya airways made no attempt to rebook me on another flight or contact me at all so had to purchase an alternative flight with saa at considerable cost as i needed to leave that night have not been able to get any compensation at all for cancellation alternative flight no apology at all is it any wonder that no one wants to travel anymore when airlinestour operators treat customers so appalling you deserve to all go under
111,i booked tickets to travel and had to make changes to the ticket i contacted them via numerous emails and no response their website says a change in ticket can be made at a cost even during this pandemic and for a first time change i reached out to them explaining i am unable to pay for the penalty they refused to respond rather they informed their back office team to increase the price of the tickets and then they responded quoting amounts triple to what the website says i explained to them and they refused to do anything about it i checked back on their website a week later and they had dropped the price of change of the ticket to double rather than triple i contacted them as they intentionally removed the option to change my ticket online they said they had sent a payment link  well payment link that says i pay triple when your website currently says its a double payment i requested they send a new payment link of course they refused a few hours later they informed their back office team to triple the price of change of ticket again avoid this airline by all means
112,after cancelling two of my flights kq offered me options and i chose to travel klm from amsterdam to nairobi to wait for my flight from nairobi to abidjan thought my original journey was all kq flights and i paid for 4 bags from amsterdam to abidjan the second leg of my journey only had 2 bags covered in my baggage allowance in other words kq basically robbed me as i had to leave 2 of my bags behind now i have to find a way to get my bags to my final destination which is undoubtedly going to cost even more than paying for 2 bags did i am extremely disappointed in the services that were provided i am moving for kq to refund me the money for my bags seeing as i paid for a service i was not provided
113,i have taken kenya airways a number of times and it is quite disappointing that instead of improving the service continues to get worse the food served remains almost inedible and inflight entertainment is virtually nonexistent due to covid they cancelled my tickets unfortunately proved to be a horrendous experience as customer service is virtually nonexistent the airline doesnt respond to emails and the telephones indicated on their website does not get picked it did not help that one is left with no option since they closed their offices this airline needs to be more responsive to its customers it seems to want to be known literally to go with the notion of polepole or slowly if it is to get itself out of its reported financial woes due to plunging customer numbers
114,we flew from jfk to nbo just before the pandemic was declared this was the first leg of a journey to seychelles sez we found the cabin crew on this flight to be excellent attentive and really friendly it seemed that the cabin staff were up and down the aisles very frequently and had a smile on their faces something that must be tough during these times we told them how pleased we were at the end of the flight and they seemed genuinely surprised to get the positive feedback we passed this on to the airline via their website but have received no response as yet check in at jfk was easy but probably atypical due to the reduced number of flyers in early march this year the same could be said for the boarding process the plane itself was new a lovely 787 with mood lighting and big windows the legroom was reasonable not cramped but not luxurious overall it was comfortable for such a long journey the food on the outbound journey was really good way better than we expected and our son childs meal was also better than typical kids meals the biggest negative on our outbound journey was the entertainment system there were very few recent movies and the choice was extremely limited take your tablet or phone and download some ebooks movies or other entertainment to it if you are expecting to use the system on the plane to keep you occupied for 14 hours you will be disappointed if i was rating the airline based on this flight i would actually give this flight 4 or even 5 stars as it was enjoyable but external factors are influencing that rating our return journey from seychelles was delayed overnight by 14 hours and we had to fight to get accommodation due to this delay and the kenyan government ban on entry for foreigners due to covid19 it also meant our mini kq safari booked through the airline had to be cancelled this is all very understandable and we have no issue with any of that we cancelled this over email with the safari division while in the seychelles and assumed there would be no issue however despite meeting 3 of the criteria needed for refund i am now going through a visa chargeback process to recover this fee first they say to talk to travel agent when we booked the safari directly through them on a different credit card number and then they say its valid for a year and they do not refund services  despite having a clear statement on their website that a refund can be done if you fit 1 of the 3 criteria  1 contact the email provided within 24 hours of the safari to cancel we did it 6 days before 2 have a flight cancellation or delay we were cancelled and put on a flight 14 hours later and 3 being denied entry to the country the government were denying foreign nationals even with a visa  which we had we want to go back to the seychelles when all this is over but sadly i fear it will need to be with another airline despite the stellar service of the staff on kq003 on the day we flew
115,cape town to amsterdam via nairobi in early march did fly before the vivid crisis missed our connection flight due to delay of the plane but found out later of that connection had been canceled kenya airways promised to give us a voucher as a compensation for the delay after several emails i have not received anything
116,i purchased a ticket back in december 2019 for a flight from kenya to italy due to covid19 the airline appropriately cancelled my trip however would not give me any sort of refund for the ticket price i reached out to them multiple times prior to the flight with no response or call back finally 2 days ago almost a month after my flight was scheduled i received a response stating that i did not qualify for a refund since it was a nonrefundable ticket even though they cancelled the flight they wouldnt even give me a travel voucher by this point if you can fly anyone else please do i had multiple international trips planned during this time and every other airline worked with me to refund my trip or provide me with flight vouchers kenya airways clearly does not care about customer service or having future customers
117,due to the covid 19 i had to cancel a flight to nairobi the cancellation was done on time early march well kenya airways refuses to refund my ticket and proposes a voucher to be used in the next twelve months on top of that no one responded to my email for over a month i really believe that this is not acceptable
118,airobi to mauritius this was the final leg of the itinerary from manchester to mauritius manchester to nairobi flown with qatar airways  flights sold by qatar airways this flight was a short 4 hour flight nairobi airport itself if not the best for transit though we spent the 7 hour layover in the pride business class lounge having paid 40 for a day pass which was satisfactory cabin crew appeared a little unfriendly on arrival onto aircraft though pleasant with requests and service the aircraft itself appeared old and tired and could benefit from modernisation for a small flight a light meal was provided which in honesty was good asian vegetarian sadly few flight announcements and no advice that the plane was descending into mauritius and landing  it just landed no inflight entertainment  screen did not work finally the timing of this flight is not good arrival at mauritius at 0300 in the morning is strange and untimely not sure why the schedule is this way but certainly not a time that i would be looking at again in the future in summary an ok airline  convenient to ensure qatar airways flights for the route but will look at alternatives to mauritius in the future put it this was if qatar airways either fly directly to mauritius or have a transit in seychelles or johannesburg then this would be the preferred option nairobi is ok but i think the experience with kenya airways is not something i would revisit as experienced
119,avelled kigali via nairobi to johannesburg and back within 2 days midmarch 2020 aircraft  were e190 on short leg and boeing 7878 on long legs all flights on time no luggage issues checked in online had to wait 1 hour in airport as they only open check in 2 hours before departure upgraded 1st leg kglnbo by a modest but successful online bid granted lounge access by courtesy in nairobi as my gold card was just earned during the same trip but of course not processed in their system in kigali they use pearl lounge which is deteriorating since rwandair opened a new lounge opposite kenya airways pride lounge in nairobi is wonderful food served onboard was substandard and particular breakfasts were a disgrace however drink supplies were fine i like the happy hours approach they use on regional routes like to dubai and jnb where you order a drink or wine and they often double up the order without asking i have only received this double up service before on gulf air and the now deceased jet airways that is generous positive approach and make one feel very appreciated and cared for in economy class where benefits otherwise are sparse fas are very good though advised an fa to avoid chewing gum as it is cause feeling of disrespect to some passengers champagne on business class is good and offered also before departure no ife on short legs but on long legs plenty of films to watch no wifi onboard i was given 3 seats on all flights were not full thanks to corona virus fear and close downs
120,airobi to daressalam it was a connection flight i booked the tickets from different companies separately this flight was the last resort to avoid losing my next flight and it got delayed more than an hour so i lost the next flight in the counter they said it was just not in the contract whatever could happen because of a delay of less than 3 hours
121,airobi to london heathrow awful simply awful substantial delays on both the outbound and return legs really poor customer service in response customer service was poor in general on board and at the airport when requesting an update to the flight i would not recommend kenya airways to anybody not even my worst enemy
122,johannesburg to kigali via nairobi 56 feb 2020 on boeing 7878 and  embraer 190 almost on time first flight fell 25 minutes late i had made a low but successful bid for 2nd leg to be upgraded as it also gave access to kenyas lounge in nairobi which is good and spacious ticket cheap bought from an online travel company kenya airways have reduced luggage allowance for regional flights with silver level in their flying blue ffp i eventually managed to get a 2nd huge suitcase added to be checkin first one included in ticket checkin transfers and communication went fine onboard great service lots of drinks as there seem to be a happy hour going on at afternoonevening flights whenever passengers ordered juice beer or wine they were instantly handed double up without discussion i love that attitude it gives a feeling of luxury i have experienced this before with kq on their dubai route food was good two options with the possibility to add up more as long stock lasted fas were fine call bells answered duty free sales onboard worked well the dreamliner is great but space provided in economy is humiliatingly small i was lucky to have 3 seats to myself to survive lack of leg and breathing space pride lounge in nairobi is a breeze and i slept well till next morning to catch last leg as being upgraded last leg morning flight nbokgl was uneventful of 9 business class seats 1 x 2 configuration no complaints apart from a joke of breakfast consisting of a tired reheated croissant no cheese only jam to supply champagne and coffeetea given on request
123,bangkok to johannesburg via nairobi on 5th february 2020 both flights on newer b7878 aircrafts checkin and luggage handling went smoothly but had to fight a bit with ground staff to get all my bps issued on spot booking handling online works well their afklm lounge offered in bangkok is poor like thai airways lounges but their pride lounge in nairobi is good and spacious hardware on kenya airways is good and they are good on ground to tackle even complicated issues the fas are also good plenty observant they are mainly kenyans which does not help chinese nor thai passengers much the very weak point of kenya airways is the food business class does not provide food any better than their economy class and is plain without vision looking shabby competing airlines like ethiopian turkish south african and egypt serves much better and inspiring food in their economy class steel cutlery and table preparation nice but thats it dinner from bkk was a cold shabby dish with chopped salad and 3 ridiculous small pieces of sliced meatballs breakfast offered was inedible continental or fried rice very poor offerings no meat no cocktails no cheeses no ice cream no smoothies chocolates no fruits watermelon does not count extremely poor catering a disgrace for the airline beverages are shamefully very sparse only 2 juices apple or orange are offered wines are only passable beers are cheap waterish industrial stuff 2 brands tusker and heineken  not providing any alternatives to each other no souvenir no pyjamas no luxury feelings at all no lobster no seafood no caviar no mutton goat pork no beef no chicken maybe inside the breakfast sausage fa staff admitted that economy class had the same catering as business though of course presented simpler 1st flight on time 2nd departed 1 hour late miles given quickly to flying blue i will go again when the price is right lower expectation to food to zero and eat well at home or in lounge then it can be fairly good value for money when prices are promoted
124,johannesburg to bangkok via nairobi as a fairly regular flier this was one of the most disappointing flights ive ever been on the boeing 787 is a great plane but from checkin to baggage collection and everything in between i was underwhelmed the aircraft interior is tatty and dirty with frayed seat covers and ripped seatback pockets that your phone falls through the holes the cabin service only started 45 minutes after takeoff no water or drinks and they first serve their very mediocre meals before you get a small plastic cup of water which we got 1 hour into the flight then the dirty trays only get cleared around an hour after meals are served so you cant stow the tray table and sleep until theyve cleared the cabin on both the flight to bangkok and the return sector i tried in vain to call a cabin attendant using the call button but they literally walk past you with the blue light glaring and carry on doing whatever theyre busy with i needed assistance on one occasion as the passenger next to me spilled their whole drink over me and i needed a towel to dry my leg and shoes but after 20 minutes i eventually switched off the light and gave up and slept with a wet leg on another occasion i needed the attendant to take my dirty food tray nearly a full hour after the meal had been served so that i could stow my fold down tray to get up to go to the bathroom but he refused to take it and said i must wait until they clear the whole cabin i chose kenya airways because it was the quickest trip with shortest connection and i assumed there would be similar service to af  klm with them being shareholders but if i ever fly to bangkok again from johannesburg i will certainly pay the extra money and take the longer layover in dubai or singapore and fly emirates or singapore airlines i will not fly kenya airways longhaul again unless its specifically to go to nairobi or elsewhere in east africa
125,just returned after spending nearly 10 hours at or tambo airport flight was cancelled due to a faulty spring on a flap while i recognise theses things happen i was appalled by the way the staff treated customers little or no information was given kq staff were almost completely absent except when tracked sent from pillar to post trying to find luggage no lunch vouchers provided then informed you had to rebook yourselves on flights so complete mayhem trying to get to the kq reservation desk back in the departures non airside counter was informed no compensation except for new booking would be provide and if needed a hotel i have family in pretoria so headed back to them incurring extra costs such as taxi fares but no compensation for these and all the other costs incurred let alone any compensation for wasting my and my 2 kids whole day losing a days work missing appointments etc am absolutely amazed at how badly kq staff in johannesburg are trained this is not the first time last year when they lost my luggage for 3 days kq staff at ortambo failed to inform me i was due 100 usd compensation i only found out when i arrived in nairobi and asked at the help desk in the arrival hall
126,cape town to mumbai via nairobi i have taken loads of flights in the last few years all across the world and this is by far the worst experience i have ever had our flight was delayed for over 10 hours because there was no crew availability because of that our connecting flight was missed and we were rescheduled to a flight which made us reach mumbai 25 hours late when we reached the airport the system was not working and we were given hand written boarding passes the process delayed the flight by more than 4 more hours the airline staff were clueless as they apparently said that the head office in nairobi was not picking their calls i dont know what is up with kenya airways its better to cancel the trip than to travel with them
127,airobi to mahe they cancelled our flight to mahe without notice we tried to check in evening before our departure date but their system indicated incorrect personal details we called customer service but they could not explain to us but instead said that we should check in at airport on arrival at airport our flight original time 1915 was cancelled so we couldnt catch our connecting flights we went to their office at entebbe and found a staff who was very unprofessional and unwilling to help when we indicated that we are gold members and frequent flyers and we wish to file a complaint and asked for her name then she was willing to assist us we missed our connecting flights paid hotel we did not sleep in sleepless night all they had to do is to inform us that our flight was cancelled and they didnt
128,johannesburg to mumbai via nairobi staff lack professionalism and can be quite brash and rude cabin was too hot even after take off and i requested if they could turn up the air but the cabin attendant didnt seem to understand my request far too much single use packaging  throwaway boxes plastic cutlery when they could just as easily use stainless steel cutlery no special meals on 24 of my flights and staff insisted this was not booked even when i was presented with my meal on 2 of other legs had to wait at least 30 minutes both times in nairobi in the plane after landing in the heat as ground staff got the disembarkation ready but no apology or explanation from cabin staff for keeping people standing in the hot crowded airplane staff lack warmth and are robotic and the attention to service when compared with other airlines on similar routes is noticeably absent
129,cape town to zanzibar via nairobi worst experience of my life we booked online directly from kenya airways on the 2nd nov and the money was deducted on the 8th november the day we booked we noticed a flight was cancelled and we phoned them to make sure seeing as we didnt receive an eticket the woman said its no problem we will receive our ticket the moment the flight is sorted we just need our booking reference on the 15th dec we were suppose to fly at 2300 with checkin they couldnt find our ticket and was sent to ticket sales ticket sales confirmed that we had paid and that we have a booking but no tickets were issued when kenya was finally reached they said they never received our payment 25 hours later we missed our flight next day we start phoning them at 7am when they finally answered they started this thing where they will tell you to please hold but end the line after the fourth call we got through and the woman said we can fly at 1430 at 10am we were at the airport at ticket sales once again no eticket and no response by 1230 we get the news we have to pay for new tickets at a larger price than our previous tickets and they will refund our original price  the absolute audacity we lost our vacation and accommodation and these people wanted to charge us extra customer service is enough to make even the most calm and professional person lose it completely we received a proof of refund and on the proof it shows that they received our money on the 6th november
130,johannesburg to dubai via nairobi first and last time travelling on kenya airway firstly the flight took forever to take off and i had a connecting flight in nairobi which eventually had me running like a mad dog and almost missed my connecting flight this kenya airways first time experience did not stop here after landing and to this very moment my luggage is missing try having a holiday and you have no luggage and no one is helping at kenya airways never again
131,amsterdam to antananarivo via nairobi it was my first time i have flown with kenya airways and it was quite positive experience the cabin crew were friendly and provided really good service with the smile we were afraid about delays and lost baggage but everything was fine and on time
132,mauritius to amsterdam via nairobi we tried to change our ticket as some free seats were available this information we got at different airport so we showed up at the desk by gate 1516 and the lady there just left us without a word we were quite in rush because we had an option to change the flight when she came back told us that it is too late and we should go to gate 6 and check for another flight and they will provide the service we went there waiting 30 mins no one showed up so i went to the previous gate desk to ask for assistance she called a few numbers and informed me that her colleague is there all the time when i went back to the desk by gate 6 my friend told me that she just arrived 2 mins ago and she is not able to help us as she doesnt have codes and we need to wait for someone else an hour we waited for another person and she couldnt help us too we kept waiting for 3rd person another 40 mins who said that we cant change the ticket coz the plan is full they could tell us at the first time my experience in general was positive
133,great flight from new york to dar es salaam via nairobi smooth connections good food good service comfortable plane no problems comparable to my flights on austrian airlines from vienna to new york
134,worst online customer service i have ever seen it took more than days to get back to me regarding a change on flights when it finally replied it gave me the available date however refused to get the payment through email as we are dealing and sent me to the branch in a city far from where i was staying to do the payment when i got there as soon as i could possibly could and the flight was simply booked out i lost money and time to find out i would have to stay until my flight was originally booked
135,"
london to mauritius via nairobi this is the first time i have flown with kenya airways and i was impressed the cabin crew were very friendly and provided an excellent service there was good leg room and the seats were comfortable the inflight entertainment was touchscreen and provided a large selection of movies to watch three meals were provided during the 2 flights my only issue was the long transit in nairobi 8 hours on the way to mauritius the transit on the journey back was quick only 2 hours i will definitely fly kenya airways again as it was the cheapest option to mauritius and provided great value for money"
136,airobi to new york  the food is below average for someone who is paying almost 1000 for a flight we received what they called a omelette which was really like the folded egg from mcdonalds chicken with rice and a buffalo chicken sandwich that was terrible completely unacceptable at the quality given to customers kenya airways also had a separate security checkpoint after three were already done in the airport at the gate in which anyone who purchased a beverage walking in the airport and then went to their gate were told it had to be consumed right then or thrown out water in the airport is 3 i saw at least 10 passengers who had to throw their water out and some after being told by a worker who sold them the water that they would be fine to board the plane also an observation we were the only one with a checkpoint done by the airline at the gate we walked by all other gates and saw people sitting like you normally would so why would this airline impose a checkpoint for those going to the us after already being checked by the airport and customs this left a bad taste after a great trip do better kenya airways your food and customer service sucks
137,airobi to zanzibar my experience involves booking a flight with another airline not kenya airways and money being deducted and cancelled on the day of travel while at the airport with my family only for kenya airways to book me a flight and save me all expenses from flight to hotel bookings i had made i booked a flight with another airline from nairobizanzibar money was deducted but i was not issued a ticket i was at nairobi on the day of travel waiting to get the tickets and travel with my family we were told the airline had canceled our tickets  later on the airline would refund me the money deducted  a ticket lady booked us a flight to zanzibar and she went further to assist us with immigrations so that we do not miss the flight eventually i was on time for checking in at zanzibar after a pleasant journey where the captain kept updating us  we received awesome service as we had travelled with an infant 15 year old both to and fro
138,my family of four flew business class bangkok to nairobi return i had purchased my business class ticket and 3 economy tickets for my family 6 months in advance all at a great price my family got upgraded to business class 48 hours before each flight based on a computerized bidding system although it is not guaranteed you will get the seats in our case it saved us thousands of dollars on our business class airfares kenya uses a 2x2x2 seat configuration in a two cabin business class design three rows in the front cabin and two rows in the next cabin the second cabin is quieter and more desirable the flight attendants both kenyan and thai were great  very friendly and attentive since both our flights were red eyes we went right to sleep for the 9 hour flight and did not eat the first meal the prearrival meal was breakfast and was fine the ife was just average with a limited number of movies most over a year old i fly a lot of long haul business class flights and usually prefer the individual pods but in this case with my family the two side by side business class seats were very comfortable in fact they had longer leg room and were wider than the pods allowing you to sleep easily on your side without feeling constricted we all got 78 hours of sleep our first flight arrived 45 minutes early our second flight 30 minutes late all in all a comfortable flight with very good service
139,london to nairobi delayed flight over four hours no compensation at all forth coming my ba flight was delayed a little while ago and i had a compensation without any issues in a month kenya airways are making a mockery of the eu law i think this is basically a broke matatu airline and best be avoided its a disgrace to the country
140,after all the negative reviews i was quite nervous about flying with kenya airways but everything was fine flight out was on time staff friendly and meals decent return journey from johannesburg was delayed and bags left behind in nairobi but staff were apologetic and bags delivered intact the next day to my door bag delay has happened previously with another major airline so not too bother i would fly with kenya airways again as it is reasonably cheap and pretty decent
141,we missed our 830am kenya airways flight the airlines fault not ours from nairobi to kilimanjaro the staff at the kenya airways desk initially insisted that we pay the full fare for a new flight at 500pm when we refused to do so they said there were business class seats available on the 130pm flight which we could have for the difference between economy and business we were told twice that the difference was us210 per person we reluctantly agreed to pay but specified we would pay by credit card so we had a paper trail when we subsequently complained to ka we were told that if we paid cash we could pay at the kenya airways desk if we insisted on paying by card we would have to go back through security but another visa as we had technically left kenya and pay at the ka desk on the concourse when my partner eventually got to the kenya airways concourse desk the staff insisted that he needed to pay cash when he refused they suggested they would void the reserved business class seats he continued to insist on paying by card at this point the price for the upgrade mysteriously dropped from us210 to us184 per person our conclusion was that the relevant kenya airways staff had intended to take the additional us52 as a commission  by the way my partner wasnt required to buy another visa and we discovered on the flight that our upgrade to business class entitled us to the grand total of a glass of water and a wet towel we will never use kenya airways again
142,johannesburg to nairobi the plane broke down and the situation was handled in the most unprofessional way the passenger was not informed on time of the technical problems the kenya airways staff was not helpful at all the better the situation the arrangement with regards to rescheduling and accomodation was also very unprofessional passengers were not guide where to pick up luggage and what to do next i will definitely not recommend kenya airways as a airways of choice
143,i was to fly on sept 7th 1055 pm kenya time from nairobi to new yorkjfk i got to the airport and cleared 3 rounds of security checks after reaching the boarding gate it was announced that the flight is delayed and now will depart at 1 am   around 930 they made another announcement that the flight is further delayed and will depart at 2 am we were offered some dinner and around midnight asked to proceed towards the boarding gate where there was another round of security clearance there is no water available beyond this point unless its a sealed bottle bought at dutyfree   at around 245 when there was no sight of a plane and when we inquired with the ground staff kenya airways personnel made an announcement that the flight is canceled and will now depart at 2 pm the next day   we were given transit visa voucher however upon getting to the immigration line were told the voucher is void without ka personnel signature by this time all of us were frustrated due to lack of proper communication and guidance   after we cleared the long queue at immigration we got to the ka desk for the hotel reservation there was no clarity or communication around hotel assignment we had to hand over our boarding passes at random to agents whod then shout out the names of passengers as the lines grew longer their ability to manage crowds and cater to our needs diminished  they were not able to answer simple questions such as which hotel to go to when our busshuttle would arrive or what the process would be thereafter   we managed to get to our assigned hotel at around 430 am the wifi in the room was not working so we could not communicate with family regarding our whereabouts the bedspread was torn and the bathroom had roaches and other insects with barely 3 hours of sleep we woke up to get breakfast which was below average   we left for the airport by airport shuttle where the ka agent only provided boarding pass for the flight to jfk the agent asked me to go to the gate to collect boarding pass for the flight from jfk phx after reaching the gate i was asked to go to the ka desk so the agent can further help with flight changes i had specifically requested to be booked onto an earlier flight which the agent at the main counter confirmed was the case however the agent at the ka desk near the gates could not help and said they could book me only on the 8 am flight to phoenix the following day  after an 8hour wait at jfk airport she said my seat was confirmed for this flight the agent also confirmed my bags would be checked all the way through to phoenix and just that i had to collect my boarding pass at ka counter at jfk   at the fourth security check i asked another ka agent if my bags would be through checked to phoenix  she said i would have to collect them at the port of entry which is nyjfk  the flight which was to depart at 2 pm was delayed by an hour and departed nairobi at around 3 pm the inflight service was poor the agents were rude i asked the attendant for an additional blanket as i started feeling the chills but i never got any   we landed at jfk around 1030 pm after clearing customsimmigration transiting passengers were advised to meet the ground staff there was no ground staff at jfk for us to meet so at around 1145 pm after clearing customs i along with another passenger headed to the ka counters on level 2boarding gates area the staff had left for the day so we decided
144,london heathrow to lusaka via nairobi flights full on outward leg evening meal provided and a small breakfast box on 787 another small breakfast box identical to the original one and equally poor  a tiny croissant and a small bun on the flight from nairobi to lusaka kenya airways food is going downhill  flown with them before and the food was more substantial return flight  lusaka to nairobi via harare  a packet of salted nuts and a drink nairobi to london  lunch was a very small offering allegedly breakfast of a poached egg and spinach  again in a cardboard box this is not the way for a cash strapped airline to attract or keep customers cabin crews were unsmiling but did the job all flights were on time which was good  but if you are looking for seat comfort forget it  seats were hard and narrow  the seats need refreshing
145,london to lusaka via nairobi kenya airways is strapped for cash and it shows on all four legs of this trip food was very poor indeed  on three legs we were served identical breakfast boxes which consist of a tiny croissantand a small cake  no butter etc that was all on the outward leg from london to nairobi there was also a reasonable evening meal but on the return leg the lunch was miniscule there were no visible water runs and the cabin crews did little outside the meal service marketing seems to use the wrong strategy to keep customers  the whole concept of customer service seems to be going in the reverse direction both aircraft types are clean but the seats are so hard and uncomfortable from years of use having flown with them before the whole trip was very disappointing on the credit side the flights were all on time if kenya airways want to attract and keep customers they should review the so called meal options and not advertise breakfast on the e tickets when it clearly does not apply a breakfast box is not a meal  buy something at the airport 
146,kigali to dubai via nairobi 5th october 2019 e190 and b787800 aircraft all on time check in smooth online where i was notified by kq 36 hours prior to kickoff in airport things went well granted access to rwandairs dream lounge as the usual business lounge is under renovation on the first flight business class was full and people were cramped in 1 x 2 configuration for solo travellers its important to select the single seats on the left column a welcome champagne given provided the passengers request it otherwise it is not offered they had two food options veg or chicken which both were ridiculous loaded from nairobi 1 to pick of chicken or vegs with a ground potato cake total some 50 grams served on a disgusting seats are classic business class with limited reline cannot justify the high price tag for business class on short flights in nairobi i used the wonderful pride lounge to catch up with premier league the longer leg nbodxb was much nicer and a true business class experience i had two hot kinds of hot meals and they were both acceptable fish and steak staff wellrested and in a sparkling mood ife fine roomy lie flat beds food is deteriorating really bad and poor compared to earlier years of glory no quality beers and only 1 or 2 wines offered and the 2 beer brands they offer are just industrialised mass products of low quality however i rate kq fairly high due to their good lounges good flights on widebody aircrafts nice fas and ability to handle irregularities
147,airobi to new york i paid for business class roundtrip my return flight was delayed until 230 am and then cancelled i was stranded for one night in nairobi and then another night in new york and then they never actually booked my connecting flight yet they swore the entire time that i had a ticket i have tried for a month to get a refund and they wont respond the customer service is routed through a call center in india that is absolutely worthless i tried calling their home office in nairobi no toll free number so incurred international charges and got hung up on before anyone could help me twice emails are ignored i am by far not the only one having these problems either
148,airobi to mahe extremely poor customer service from kenya airways today after delaying our flight kq 250 by 4hr 15mins meaning everyone is missing their connection they offer no compensation no solution refuse to call the seychelles airlines to ask them for help i expect to receive a refund for the inconvenience
149,my flight from dubai to mauritius to transit through nairobi was so bad they delayed us in dxb for 2 hours and when arriving at nairobi the flight to mauritius already left i had to reconnect to johannesburg waiting for 8 good hours without any help of any rebooking or a hotel to rest arrived in johannesburg at 1 am the morning i have to wait for another 9 hours before the flight to mauritius the journey of 1 day takes almost 3 days i wouldnt recommend they have wasted my time
150,johannesburg to paris return kenya airways does the job but dont expect much more than flying from a to b on the good side flight hours are convenient from johannesburg to paris and route is short flights were all on time with short connections kq is part of the afklm flying blue programme and thats very convenient im silver and got 3x23 kilos fas were fine and as already experienced on kq they tended to be very generous on alcohol on the downside kq offers very poor service ife is extremely poor with a very limited choice of films most being rather old films and the selection did not change between late july and late august besides ife did not always work fine sound problem on one flight food was very limited and very bad particularly on 8 hour flight to paris no real dinner but just a fat meat roll breakfast very bad  but food better from cdg as on so many airlines nbo airport is small and clean it was not crowded but very dull and very limited service ground staff at or tambo wanted us to pay for our childrens car seats about  400 because on the website it was written that car seats were free for infants and they said children aged 4 and 9 are not infants  very absurd rule hopefully the agent at the ticketing office was shocked by the price and sorry for us and finally they dropped the surcharge as always be kind with ground staff and stay calm yet we saw latter the same ground staff member telling very rudely to a passenger going to malawi that he would have to pay for a notsobig cabin bag he was carrying kqs service is clearly very poor and among african airlines saa and ethiopian while far from being perfect offer better service particularly ife food and cabins
151,"
bangkok to harare via nairobi my first leg flight from bangkok to nairobi was delayed by 5 hours on 30 august from 0140 to 610 on arrival in nairobi i could still have caught my flight to harare but was told it had been cancelled they were trying to put another flight together i was told to sit and wait i waited from approximately 1000 am to 1300 pm i was told that a mistake had been made as i had been rebooked to go to lusaka at approximately 1500 i finally got a new boarding pass and was taken to a hotel by the time all procedures were done i arrived at the hotel after 1700 pm we were told to return to the desk by 2000 hrs for the 1159 flight i eventually arrived in harare at 0200 am on sunday instead of 1540 pm on saturday on my return a week later the hararenairobi leg was fine on arrival in nairobi i was told to go to transfer desk and knew instantly that another ordeal was starting the flight had been delayed by approximately 6 hours again the flight is leaving tomorrow morning and we have booked you in a hotel they told me i had to take a crowded old bus with loud music playing we arrived at the hotel late and had just over two hours before our departure for the airport throughout all this i never got an apology or any kind words i resolved that i would never take kenya airways as long as they cancel and delay flights this way"
152,johannesburg to london heathrow via nairobi i cant fault this airline faultless journey great crew new aircraft flights on time my second trip to europe with kenya airways in the last couple of months they are now my airline of choice thank you star alliance for doing me over with your hard to find small print otherwise id have never tried kq
153,cape town to addis ababa via nairobi i booked two weeks ago to attend a hospitality conference addis ababa flying there by night booked business class and economy for my return as it is a day flight the transit time is good on both legs until yesterday when i was informed that timetables have changed and i now have 5 hrs to wait at jka for the return flight to cape town as a frequent flyer kq i asked their customer service if i could be given a voucher for the business lounge as they had made the changes the short retort was no my retort to kenyan airways  i have now cancelled my booking and will be flying ethiopian airways direct from cape town to addis ababa return no wonder kenya airways is also experiencing hard times it all relates to service on the ground and in the air you have now lost 930 plus what i may have spent at the airport duty free and my views of flying the pride of africa has changed
